"Team","year","team","Payroll","tenmilplayers","W.L.","MarketSize","playersto50","adjServiceTime","payrollMil","adjServiceTimeSq","playersto50sq","payrollsq","tenmilplayerssq","Playoffs"
"San Diego Padres",2016,"SDN",116772000,4,0.42,"Medium",3,5.43023255813953,116.772,29.4874256354786,9,13635.699984,16,0
"San Diego Padres",2017,"SDN",36265100,0,0.438,"Medium",6,3.81953488372093,36.2651,14.5888467279611,36,1315.15747801,0,0
"San Diego Padres",2018,"SDN",82887933,3,0.407,"Medium",3,4.0253488372093,82.887933,16.2034332612223,9,6870.40943701249,9,0
"San Diego Padres",2019,"SDN",71336800,2,0.432,"Medium",3,3.85790697674419,71.3368,14.8834462412115,9,5088.93903424,4,0
"San Francisco Giants",2012,"SFN",125474333,5,0.58,"Large",4,5.43348837209302,125.474333,29.5227958896701,16,15743.8082417949,25,1
"San Francisco Giants",2013,"SFN",141691777,4,0.469,"Large",4,5.25325581395349,141.691777,27.5966966468361,16,20076.5596694177,16,0
"San Francisco Giants",2014,"SFN",170839778,8,0.543,"Large",6,6.20837209302326,170.839778,38.54388404543,36,29186.2297470893,64,1
"San Francisco Giants",2015,"SFN",181411110,6,0.519,"Large",6,6.94837209302326,181.41111,48.2798747431044,36,32909.9908314321,36,0
"San Francisco Giants",2016,"SFN",180323610,7,0.537,"Large",5,6.0253488372093,180.32361,36.3048286100595,25,32516.6043234321,49,1
"San Francisco Giants",2017,"SFN",198369111,9,0.395,"Large",5,5.62790697674419,198.369111,31.6733369388859,25,39350.3041989303,81,0
"San Francisco Giants",2018,"SFN",219988945,11,0.451,"Large",6,6.40813953488372,219.988945,41.0642522985397,36,48395.135922213,121,0
"San Francisco Giants",2019,"SFN",206259445,9,0.475,"Large",6,6.63348837209302,206.259445,44.0031679826933,36,42542.958651708,81,0
"Seattle Mariners",2012,"SEA",80539700,2,0.463,"Medium",3,3.48372093023256,80.5397,12.1363115197404,9,6486.64327609,4,0
"Seattle Mariners",2013,"SEA",80980243,1,0.438,"Medium",4,5.31744186046512,80.980243,28.2751879394268,16,6557.79975633905,1,0
"Seattle Mariners",2014,"SEA",100281843,2,0.537,"Medium",3,4.57558139534884,100.281843,20.9359451054624,9,10056.4480354766,4,0
"Seattle Mariners",2015,"SEA",130187143,3,0.469,"Medium",4,4.8093023255814,130.187143,23.1293888588427,16,16948.6922025024,9,0
"Seattle Mariners",2016,"SEA",148949343,4,0.531,"Medium",4,5.36302325581395,148.949343,28.7620184424013,16,22185.9067801316,16,0
